destination_id,edge_id,method,level,service,class,Class.keyword,class,Class.keyword,messageRealm,serviceAction,messageParams.subscriber,messageParams.calledMessageQueue,messageParams.type,messageParams.messageID,messageParams.correlationID,messageParams.transactionID,messageParams.originatingMS,messageParams.terminatingMS,serviceData.httpParams.statusCode,message_id_length,correlation_id_length,transaction_id_length
64954b9d04844abe0c138c09,64954b9d04844abe0c138c20,deserializeMessage,INTERNALTRACE,smsbroker,,,,,internal,unsubscribe,ocxuaESEv0bNKKGu,intelepeersmsadapter-intelepeersmsadapter-786c758856-xz7f4,response,5b20911b-bc0e-48d2-91f6-1d32d19183ef,cd22a0106dfea3a97739dd2d6695cbd3,5bfac3ac-0248-4b90-abc8-dc9d5115e34d:17bcf06d-08c7-4e53-93d0-fcc3f0f71e67,intelepeersmsadapter,smsbroker,200,36,32,73
64954b9d04844abe0c138c09,64954b9d04844abe0c138c21,deserializeMessage,INTERNALTRACE,smsbroker,,,,,external,subscribe,ocxuaESEv0bNKKGu,intelepeersmsadapter-intelepeersmsadapter-786c758856-xz7f4,response,d28c3d5d-2086-452c-85c6-a508bf8b8280,fb13376e794c64a21c5355a4b676e58d,5bfac3ac-0248-4b90-abc8-dc9d5115e34d:ccfbd3d0-5c23-45e5-bd5d-1255b6c7d53d,intelepeersmsadapter,smsbroker,200,36,32,73
64954b9d04844abe0c138c09,64954b9d04844abe0c138c22,deserializeMessage,INTERNALTRACE,smsbroker,,,,,internal,unsubscribe,ocxuaESEv0bNKKGu,intelepeersmsadapter-intelepeersmsadapter-786c758856-xz7f4,response,d04a07bb-b51f-48e7-8e73-0128bd496df3,f37a70e21f0f1843c138ee352ab15cc3,5723becb-c772-4ee4-8898-7fdc09624bc9:92715dd2-e3af-4c54-9097-ae2478193c84,intelepeersmsadapter,smsbroker,200,36,32,73
64954b9d04844abe0c138c09,64954b9d04844abe0c138c23,deserializeMessage,INTERNALTRACE,smsbroker,,,,,external,subscribe,ocxuaESEv0bNKKGu,intelepeersmsadapter-intelepeersmsadapter-786c758856-xz7f4,response,7ee2c379-3390-458d-971d-6a7e978a0def,53aeec8de8fa10d1be52313028a63423,5723becb-c772-4ee4-8898-7fdc09624bc9:41ff7f00-95d6-44cb-9c9f-7c2fc9de079e,intelepeersmsadapter,smsbroker,200,36,32,73
64954b9d04844abe0c138c24,64954b9d04844abe0c138c25,sendLocalMessage,INTERNALTRACE,smsbroker,,,,,internal,unsubscribe,ocxuaESEv0bNKKGu,smsbroker-smsbroker-598f7b8db9-f4mqp,request,4c232511-a53e-4e86-b8c8-b96e680f2ff1,2f3f26b2689559a62ff86862237ab9a9,53e6b6c1-fae8-4568-94ad-cca25913befc:43e3b38f-f604-4b3f-82ac-f4767177c60a,smsbroker,intelepeersmsadapter,400,36,32,73
64954b9d04844abe0c138c24,64954b9d04844abe0c138c26,sendLocalMessage,INTERNALTRACE,smsbroker,,,,,external,subscribe,ocxuaESEv0bNKKGu,smsbroker-smsbroker-598f7b8db9-f4mqp,request,73d1c094-94c6-4fdc-ae4b-8afc11eeea4c,910d10183dab6ad6aeb995cfaf349b5c,53e6b6c1-fae8-4568-94ad-cca25913befc:68ebf934-07b9-4484-a4d5-ca7709e5171f,smsbroker,intelepeersmsadapter,400,36,32,73
64954b9d04844abe0c138c24,64954b9d04844abe0c138c27,sendLocalMessage,INTERNALTRACE,smsbroker,,,,,internal,unsubscribe,ocxuaESEv0bNKKGu,smsbroker-smsbroker-598f7b8db9-f4mqp,request,4ecc2d11-cbb3-4ced-9783-9a716736bdd4,7f4913c18078382412d790e7516af491,5bc46508-0fac-466f-95ae-60affd456271:a9414ef0-7ddd-4e6c-b797-d9deb3e1de6a,smsbroker,intelepeersmsadapter,400,36,32,73
64954b9d04844abe0c138c24,64954b9d04844abe0c138c28,sendLocalMessage,INTERNALTRACE,smsbroker,,,,,external,subscribe,ocxuaESEv0bNKKGu,smsbroker-smsbroker-598f7b8db9-f4mqp,request,fa972a09-ea67-442a-8087-4545670c1f30,b004ed73fe726c494cbc273f23344b0f,5bc46508-0fac-466f-95ae-60affd456271:c9f3a0b0-df34-45ff-9a4b-f2de8a8c4c90,smsbroker,intelepeersmsadapter,400,36,32,73
64954b9d04844abe0c138c24,64954b9d04844abe0c138c29,sendLocalMessage,INTERNALTRACE,smsbroker,,,,,internal,unsubscribe,ocxuaESEv0bNKKGu,smsbroker-smsbroker-598f7b8db9-f4mqp,request,ffd4bcf1-6083-46d5-a06d-829c46d173c3,b746b183302b3da2d4ac1a0e5f346f66,aa8a17c8-8612-412c-9e0a-249ed9d00deb:d9ed9c7f-8ae6-40c4-aed8-6c8a83c8d427,smsbroker,intelepeersmsadapter,400,36,32,73
64954b9d04844abe0c138c24,64954b9d04844abe0c138c2a,sendLocalMessage,INTERNALTRACE,smsbroker,,,,,external,subscribe,ocxuaESEv0bNKKGu,smsbroker-smsbroker-598f7b8db9-f4mqp,request,57cb8640-79b6-4bcc-9787-df7262a345d8,c7de8fa8a5265aba009fca30f7723c6f,aa8a17c8-8612-412c-9e0a-249ed9d00deb:b97c5d71-00a8-4081-92a2-be2a1e6e29d6,smsbroker,intelepeersmsadapter,400,36,32,73
